"Submission Date","What's your name?","Give this clip an identifier (optional)","This clip can be played when Virginia is feeling:","Please record a message"
"2020-01-10 08:35:46","Uncle Jimmy","","Sad; Mad; Frustrated; Stressed; Rushed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e187d9b62f21_1578663323.wav"
"2020-01-09 11:34:17","Jefferson and Gandalf The Grey","Gandalf","Sad; Stressed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e17556a50b7a_1578587498.wav"
"2020-01-09 11:28:34","Jefferson Pan","well_its_allllright","Sad; Mad; Frustrated; Stressed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e17547da1cc1_1578587261.wav"
"2020-01-09 11:22:23","Jefferson Pan","frost","Sad; Stressed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e1753266e71b_1578586918.wav"
"2020-01-08 12:17:07","dad","pain","pain","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160e8ea4ed1_1578503822.wav"
"2020-01-08 12:14:45","dad","tired","tired","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160e02de6ce_1578503682.wav"
"2020-01-08 12:12:51","dad","rush 5","Stressed; Rushed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160d90935c7_1578503568.wav"
"2020-01-08 12:10:05","dad","dad happyd 3","happy","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160ceabc8ed_1578503402.wav"
"2020-01-08 12:01:47","dad","dad end day","end day","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160af14d833_1578502897.wav"
"2020-01-08 11:57:56","dad","early day","early daily","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e160a125601b_1578502674.wav"
"2020-01-08 11:54:05","dad","early weeken","early weekend","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e16092a8c023_1578502442.wav"
"2020-01-08 11:51:53","dad","dad stress 4","Stressed; Rushed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e1608a60708b_1578502310.wav"
"2020-01-08 11:49:33","dad","dad mad 4","Mad; Frustrated","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e16081a5676e_1578502170.wav"
"2020-01-08 11:47:49","dad","dad sad 4","Sad","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e1607b232ec7_1578502066.wav"
"2020-01-08 11:40:13","dad","early weeken","early weekend","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e1605e7121bc_1578501607.wav"
"2020-01-08 09:20:23","Mom","Bob ross","Stressed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e15e4dab9265_1578493146.wav"
"2020-01-08 09:08:45","Mom","Stop feeling frustrated ","Frustrated","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e15e24f5e2c4_1578492495.wav"
"2020-01-08 09:07:13","Mom","Chin up","Sad","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e15e1cc46292_1578492364.wav"
"2020-01-05 23:15:28","Virginia","test","Rushed","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e12b454181ce_1578284116.wav"
"2020-01-03 07:26:19","Gerry","sad 1","Sad","https://www.jotform.com/widget-uploads/voiceRecorder/200020968432043/5e0f32cfdb175_1578054351.wav"
